mean_f_lambda,n_data,noise_f_lambda,unc_f_lambda,wavelength
0.12956986891125175,48.0,0.18351067881795746,0.11265293945678159,712.0
0.1714109120301294,49.0,0.15599533088300865,0.11082498907202812,716.0
-0.03778777855225432,71.0,0.14521172179531094,1.3898457114347011,720.0
0.18997563131334674,72.0,0.1318082527312665,0.3422329114681903,724.0
0.4525049584559523,78.0,0.2634595644359676,0.4168698813988052,728.0
0.16485420702134862,119.0,0.2779199560752027,0.28574690390712615,732.0
0.44814754670692813,117.0,0.25093468735148267,0.22616796911527248,736.0
0.5435867177646102,118.0,0.20379485344402468,0.15734478544291267,740.0
0.2059643528432232,116.0,0.17730250550587234,0.12618961908231852,744.0
0.36729341042938374,118.0,0.15142537656487962,0.1319492070002923,748.0
0.39705087510007087,134.0,0.14406649537055832,0.21319430159859576,752.0
0.18680316343417633,138.0,0.13872548447420624,0.16395113588288168,756.0
0.250463546331351,138.0,0.12094480559583043,0.11605760798432277,760.0
0.13836433256850736,178.0,0.14471459290919472,0.3020070471147791,764.0
0.5400633310821529,180.0,0.12590712979395882,0.22510716775463652,768.0
0.49114762820790325,181.0,0.11695156990042711,0.3104373087641915,772.0
0.4526053398195654,200.0,inf,0.1788479561051898,776.0
0.28082621736479374,204.0,0.09841267128164957,0.22781686398824433,780.0
0.49561461870306733,225.0,inf,0.20089856607499879,784.0
0.5785798646994238,246.0,0.09198009616167899,0.17655734926044675,788.0
0.43109494981197816,265.0,0.0835783164303466,0.12867355379480266,792.0
0.6899934669892336,261.0,0.07612680526928824,0.12458960329668982,796.0
0.42596392969405145,276.0,0.07404723427212065,0.10001851949398874,800.0
0.3447560160664678,296.0,0.08321337782382318,0.10986336468691076,804.0
0.42550893861586164,301.0,0.0775066720799501,0.09346072612481943,808.0
0.2122358761473813,352.0,0.10259217190732775,0.09819387497791855,812.0
0.2294246420805142,376.0,inf,0.12341712288739248,816.0
0.2942942825435386,383.0,0.09598111584289792,0.06507222971686066,820.0
0.5149047282244273,379.0,0.0873289271362466,0.06631803434034543,824.0
0.3785977572155128,377.0,0.0785494412999144,0.058183361941203944,828.0
0.36327273292070716,396.0,0.08534409226510972,0.06078845899246365,832.0
0.6581286315346228,410.0,inf,0.18456706864710107,836.0
0.4078023185639329,458.0,0.0738674459351296,0.12655434580434582,840.0
0.4112218194939196,500.0,inf,0.08551188482415222,844.0
0.35748541367622055,522.0,0.07637800030881374,0.08922067403213405,848.0
0.5283189157055983,561.0,0.07454452652339073,0.10098342418594528,852.0
0.46392050310454197,648.0,0.0700680973065284,0.09681480551991263,856.0
0.5165252955930204,699.0,inf,0.08664956098363855,860.0
0.5604692617765644,743.0,0.06931564377914574,0.06661087867708505,864.0
0.554538617060316,800.0,0.066100968837841,0.06833839439684827,868.0
0.5721005567319382,866.0,inf,0.06168004428141032,872.0
0.7045210124119806,914.0,0.05969372402733388,0.06269131453078629,876.0
0.6967752559354615,951.0,0.055648547830312325,0.05760980554634375,880.0
0.7038392228245098,1001.0,inf,0.0553441513256915,884.0
0.7474226316574407,1060.0,inf,0.07727453096162673,888.0
0.8587778738605963,1137.0,inf,0.06396573551150064,892.0
0.8748166655792924,1175.0,0.05012218719739205,0.05916944996377494,896.0
0.9974768674403087,1225.0,inf,0.05660906789857564,900.0
1.0169523648328516,1315.0,inf,0.06278493031433056,904.0
0.9990085671061342,1376.0,0.04643934242287713,0.05830986409308334,908.0
1.0469951215943862,1429.0,0.04484532972516009,0.04568900259820733,912.0
1.2322229022162505,1447.0,inf,0.04865701964612249,916.0
1.261320786259563,1465.0,inf,0.05647267309161775,920.0
1.2290768453662682,1568.0,inf,0.060224217570208446,924.0
1.3723078841135177,1607.0,inf,0.05494271759966223,928.0
1.4766028200837564,1664.0,inf,0.05859526894438351,932.0
1.4029315223661623,1697.0,inf,0.05434356271111729,936.0
1.4686571797891426,1734.0,0.036865349980024144,0.05604132295403956,940.0
1.4850006480165874,1783.0,0.03415242184218368,0.05940143071586323,944.0
1.5670576837633081,1850.0,0.033132722786554984,0.06012996687932121,948.0
1.537690153379168,1886.0,inf,0.05306365620777885,952.0
1.5355128322254585,1920.0,0.034869697932818244,0.04855453751744495,956.0
1.4604609530165358,1978.0,0.04150171265896062,0.04234256959656501,960.0
1.5158039480576482,2026.0,0.04088992222385071,0.04305361983263058,964.0
1.488532116156183,2082.0,0.038782721542463795,0.051133504559554614,968.0
1.705986375153412,2140.0,inf,0.06607483950354356,972.0
1.657619837313078,2211.0,0.03878777061851036,0.06749051535663941,976.0
1.789455213230595,2292.0,inf,0.048506216027703934,980.0
1.8048936405450897,2389.0,0.038166654560879136,0.04460202012829424,984.0
1.8517213806857784,2435.0,inf,0.04687187335208781,988.0
1.6872649657935788,2465.0,0.0362034810260333,0.04474212013242539,992.0
1.7261086523337141,2510.0,0.03518144092909906,0.04196123880012968,996.0
1.8050922428620424,2586.0,0.04600287713344972,0.04107001019357144,1000.0
1.7051140976577366,2661.0,inf,0.039654964183931295,1004.0
1.6456572617687117,2722.0,0.04682812024978335,0.03516610650161484,1008.0
1.7236506572640633,2773.0,0.04409877774655697,0.03418604257876319,1012.0
1.772625748139722,2867.0,inf,0.035262990506409964,1016.0
1.7967492404578211,2959.0,inf,0.035674483984592574,1020.0
