mean_f_lambda,n_data,noise_f_lambda,unc_f_lambda,wavelength,continuum
0.30642075188458623,1770.0,inf,0.04338612312792858,820.0,0.5347230395932272
0.3468312586286586,1847.0,inf,0.045290652499561185,824.0,0.546695549460701
0.3116861990472529,1978.0,inf,0.05484288943322255,828.0,0.5588761930682589
0.5194285442134493,2122.0,inf,0.06270553108074438,832.0,0.5712675569279747
0.5378690598406113,2246.0,inf,0.07806882885597814,836.0,0.5838722469972955
0.5868175225631778,2437.0,inf,0.08007288444412618,840.0,0.5966928887306904
0.5050646267366248,2593.0,inf,0.06625266483590522,844.0,0.6097321271311876
0.5297721042302416,2763.0,inf,0.06626969290843414,848.0,0.6229926268018011
0.5001081742722768,2867.0,inf,0.06245266598961089,852.0,0.6364770719968466
0.4674033531864811,3017.0,inf,0.07228989048585738,856.0,0.650188166673149
